,0,1,2
0,Number of Nodes,Number of Edges,Total Triangles
1,72351,174496,90540
2,712689,1801621,1752345
3,709915,1370102,333678
4,659993,1274174,320880
5,648429,1381564,273105
6,569886,1055853,203445
7,650338,1234492,243834
8,663817,1278969,382812
9,644176,1210173,383712
10,609496,1119406,471336
11,602834,1149261,338913
12,584493,1181296,266235
13,541489,960204,186351
14,639868,1255900,394092
15,648416,1213917,155148
16,664515,1284871,168393
17,678707,1272225,165555
18,652365,1304880,173466
19,636047,1350065,149577
20,570757,1116824,152913
21,720938,1399223,142323
22,693893,1470123,136254
23,700759,1468507,164691
24,682670,1371517,182031
25,664556,1432350,159741
26,655493,1693308,142368
27,617532,1351145,139962
28,723129,1560914,170745
29,681067,1420950,199518
30,753070,1577142,221943
31,720971,1483811,263376
32,671753,1394066,208635
33,640780,1425087,165510
34,637134,1237574,205902
35,735625,1410623,247557
36,656825,1283882,261645
37,678583,1342605,369156
38,726041,1506804,417447
39,657587,1431889,496119
40,601373,1377170,437322
41,544829,1095896,202713
42,692943,1415342,236172
43,666914,1321472,279003
44,643241,1294629,266217
45,697639,1506876,298164
46,684191,1499716,245499
47,675612,1560825,248022
48,580849,1209023,255624
49,672287,1395921,430209
50,665629,1385249,520002
51,653516,1385196,399963
52,715425,1475019,362442
53,758543,1686459,364056
54,706061,1865810,399498
55,631094,1270976,279645
56,723944,1566659,368850
57,679063,1400193,338718
58,716414,1547192,282861
59,717316,1456982,315945
60,710398,1491300,157545
61,657170,1521566,148521
62,635455,1482837,122259
63,714870,1661365,149775
64,726613,1525112,163245
65,698545,1456035,145161
66,683365,1500116,141357
67,754824,1653273,157545
68,652743,1663593,131370
69,627160,1376122,134901
70,689590,1481036,151038
71,711733,1568114,143526
72,665028,1491097,206232
73,742319,1670653,248538
74,736612,1588654,218781
75,668692,1575452,214047
76,608792,1317961,187281
77,680719,1475646,210501
78,696283,1549945,248208
79,713328,1645761,307980
80,679399,1581052,340791
81,699511,1661475,287478
82,621438,1754438,374124
83,577374,1320026,372699
84,686089,1614822,393393
85,712132,1759391,597279
86,649770,1644151,677334
87,669533,1487946,213339
88,664501,1452965,217683
89,612535,1617254,178479
90,637294,1428057,178563
91,735652,1627521,176145
92,682945,1518161,152295
93,691765,1699140,240366
94,694395,1710846,198168
95,722207,1849772,199329
96,599840,1763247,166011
97,619055,1611446,189198
98,726030,1881892,261312
99,732160,1997162,301833
100,680052,1875713,202296
101,710336,1879153,223227
102,657887,1483796,266295
103,632092,1697290,309414
104,567306,1305005,240444
105,641007,1484976,289992
106,706117,1307072,148554
107,697228,1323149,168891
108,746364,1499582,149484
109,726712,1521538,177123
110,684955,1490249,182568
111,627266,1173927,141843
112,711445,1408030,142344
113,702963,1371046,440949
114,722935,1387178,192183
115,750322,1441299,163284
116,763578,1757478,171966
117,757136,1491487,174765
118,699824,1313779,141492
119,741226,1480513,240048
120,783559,1489189,185568
121,741546,1376743,155442
122,897249,1834670,176727
123,833758,1979960,216153
124,723461,1382511,162021
125,715201,2012575,150102
126,862070,1709267,207939
127,825713,1550485,160752
128,787600,1477851,190182
129,787246,1441097,170166
130,779181,1671935,216027
131,785074,1331078,175362
132,766593,1303517,139530
133,792787,1526005,259539
134,786813,1567723,150447
135,744055,1507936,360855
136,750009,1504433,361338
137,841732,1844237,280161
138,843705,1527221,303615
139,802719,1346379,148635
140,909015,1639548,231582
141,940446,1922659,232785
142,937628,1765108,312114
143,905133,1751645,544107
144,811526,1632043,448140
145,753659,1464024,317487
146,682367,1269535,321792
147,793041,1555821,585153
148,876194,2053503,757776
149,807634,1992296,1201173
150,806059,2259256,2269008
151,767731,2047882,1884234
152,794364,2343631,2174658
153,654928,2119973,2768190
154,786136,2446154,2741265
155,883654,2461472,1656621
156,811287,2168177,1788441
157,757036,1980073,1415481
158,756300,1977078,1443708
159,692623,1754650,1309509
160,647818,1487028,988278
161,798766,1948895,1395819
162,807694,2504692,1555026
163,746745,2005839,1379694
164,714220,1879575,1295961
165,717510,1797175,1185555
166,615055,1464785,934587
167,576416,1345916,828576
168,717496,2115424,1639587
169,810987,2685200,2356419
170,749375,2276006,1889598
171,705735,2011182,1636776
172,692716,1868588,1269279
173,664292,1700797,1284360
174,587382,1417187,1076145
175,689473,1958169,1643568
176,700600,2138219,1181148
177,718337,1926427,1405854
178,687580,1734876,1242885
179,657765,2063696,1319220
180,603700,1788603,1498119
181,577319,1387731,1389903
182,659578,1691964,1456374
183,723659,2141545,1449687
184,645829,1693409,1509570
185,659582,1818773,1620396
186,729080,2345218,1266849
187,603958,1582058,1465575
188,540972,1200458,727158
189,785174,1897004,1837548
190,758006,2205080,1453413
191,759721,1919494,2109144
192,662578,1725180,1029438
193,655722,1723738,1072476
194,609966,1541210,791337
195,608058,1669938,970449
196,699064,1754241,1065999
197,808106,2287475,1292724
198,701884,1868574,1415475
199,729351,2065477,1854249
200,691907,2554785,1578522
201,611657,1735631,1434777
202,528415,1463721,817446
203,676448,1956694,2172522
204,707258,2269377,1507083
205,652607,1716094,1405341
206,691123,1851030,1710678
207,695386,2096642,1925433
208,621021,1574823,926196
209,584813,1335071,815757
210,689791,1435748,559632
211,482455,1069578,114873
212,588059,1740293,1957005
213,617535,1816249,3324087
214,661343,1896260,3887064
215,624609,1911414,2167968
216,543369,1657171,2263524
217,725090,2482678,3346026
218,803263,2896739,3150600
219,709887,2296484,2693592
220,742471,2812337,3161211
221,735136,3092194,3661278
222,646363,2730701,3814263
